ID	Name	Glottocode	author	Clade
1467	Mindoro Tagalog	taga1270	Native Tagalog speaker	Tagalog
1547	Bulalakawnon	bula1256	R David Zorc	Bulalakaw
1548	Inonhan (Dispoholnon)	disp1238	Summer Institute of Linguistics (unknown authors). 1966. Inonhan (Dispoholnon) available via Zorc, R. David. 1972. Unpublished field notes.	Dispoholnon
1549	Kamayo	kama1363	Summer Institute of Linguistics (unknown authors). 1966. Kamayo available via Zorc, R. David. 1972. Unpublished field notes.	Kamayo
1550	Caluyanun (Semirara)	semi1263	Summer Institute of Linguistics (unknown authors). 1966. Caluyanun (Semirara) available via Zorc, R. David. 1972. Unpublished field notes.	Semirara
1555	Tandaganon (Naturalis)	natu1247	Summer Institute of Linguistics (unknown authors). 1966. Tandaganon (Naturalis) available via Zorc, R. David. 1972. Unpublished field notes.	Naturalis
1635	Inagta Alabat	alab1246	Lobel et al. 2020.	Alabat Island Agta
1637	Surigaonon	suri1273	Catharine Elizabeth Laude	Surigaonon
1638	Western Subanon	west2557	Jernan Combi	Western Subanon
1641	Manide (Labo)	cama1250	Doroja (2017)	Camarines Norte Agta
33	Kapampangan	pamp1243	Blust from: Forman (1971), McFarland 1977	Pampanga
444	Sambal, Botolan	boto1242	C. Huock and H. Minot in Reid (1971)	Botolan Sambal
686	Sinauna	remo1247	Fe Aldave Yap	Hatang Kayi
1200	Kapampangan	pamp1243	Eduardo John A. Balatbat	Pampanga
1257	Ayta Mag-antsi	maga1263	Storck, Kurt and Margaret Storck, compilers	Mag-Anchi Ayta
1262	Ayta Abellen	aben1249	Stone (2008)	Abenlen Ayta
1263	Ayta Ambala	amba1267	Stone (2008)	Ambala Ayta
1264	Ayta Mag-anchi	maga1263	Stone (2008)	Mag-Anchi Ayta
1265	Bolinao	boli1256	Stone (2008)	Bolinao
1266	Botolan Sambal	boto1242	Stone (2008)	Botolan Sambal
1267	Ayta Mag-indi	magi1241	Stone (2008)	Mag-Indi Ayta
1268	Sambal	tina1248	Stone (2008)	Tinà Sambal
133	Tboli (Tagabili)	tbol1240	Lawrence A. Reid	Tboli
291	Koronadal Blaan	koro1310	Savage, T.D. (1986)	Koronadal Blaan
293	Sarangani Blaan	sara1326	Savage, T.D. (1986)	Sarangani Blaan
413	Bilaan, Koronadal	koro1310	N. Abrams in Reid (1971)	Koronadal Blaan
414	Bilaan, Sarangani	sara1326	B. McLachlin & B. Blackburn in Reid (1971)	Sarangani Blaan
449	Tagabili	tbol1240	V. Forsberg in Reid (1971)	Tboli
707	Tiruray	tiru1241	Stuart A. Schlegel	Tiruray
1551	Guiangan (Sirib)	gian1241	Summer Institute of Linguistics (unknown authors). 1966. Guiangan (Sirib) available via Zorc, R. David. 1972. Unpublished field notes.	Giangan
1552	Guiangan (Baguio)	gian1241	Summer Institute of Linguistics (unknown authors). 1966. Guiangan (Baguio) available via Zorc, R. David. 1972. Unpublished field notes.	Giangan
157	Itbayaten	ivat1242	Lawrence A. Reid	Itbayat
248	Iraralay	ivat1242	Tsuchida et al. (1987)	Itbayat
249	Itbayat	ivat1242	Tsuchida et al. (1987)	Itbayat
250	Imorod	ivat1242	Tsuchida et al. (1987)	Itbayat
251	Ivasay	ivat1242	Tsuchida et al. (1987)	Itbayat
252	Isamorong	ivat1242	Tsuchida et al. (1987)	Itbayat
254	Yami	yami1254	Ferrell (1969)	Yami
289	Babuyan	babu1242	Tsuchida et al. (1987)	Babuyan
335	Yami	yami1254	D. Victoria Rau	Yami
425	Itbayaten	ivat1242	Y. Yamada in Reid (1971)	Itbayat
427	Ivatan, Basco Dialect	ivat1242	M. Cottle, V. Larson & L. A. Reid in Reid (1971)	Itbayat
31	Kakiduge:n Ilongot	ilon1239	Reid (1971)	Ilongot
36	Bontok, Guina-ang	guin1256	Lawrence A. Reid	Guinaang Bontoc
279	Ibanag	iban1267	Telan Family	Ibanag
288	Ilokano	ilok1237	Blust	Iloko
405	Pangasinan	pang1290	Emerich Daroya	Pangasinan
409	Agta	cent2084	R. Mayfield in Reid (1971)	Central Cagayan Agta
410	Atta, Pamplona	pamp1244	C. Whittle & R. Lusted in Reid (1971)	Pamplona Atta
411	Balangaw	bala1310	J. Shetler in Reid (1971)	Balangao
416	Bontok, Guina-ang	guin1256	Reid (1971)	Guinaang Bontoc
417	Dumagat, Casiguran	casi1235	T.N. Headland in Reid (1971)	Casiguran-Nagtipunan Agta
418	Gaddang	gadd1244	L. & M. Troyer in Reid (1971)	Gaddang
419	Ifugao, Amganad	amga1235	S. Funnell & A. West in Reid (1971)	Amganad Ifugao
420	Ifugao, Batad	bata1298	L.E. Newell, in Reid (1971)	Batad Ifugao
421	Ifugao, Bayninan	kele1259	H.C. Conklin in Reid (1971)	Keley-i Kallahan
422	Ilongot, Kakiduge:n	ilon1239	M. Rosaldo in Reid (1971)	Ilongot
423	Inibaloi	ibal1244	L. Ballard in Reid (1971)	Ibaloi
424	Isneg, Dibagat-Kabugao-Isneg	isna1241	G.R. Roe in Reid (1971)	Isnag
426	Itneg, Binongan	bino1237	C. Walton in Reid (1971)	Binongan Itneg
429	Kalinga, Guinaang, Lubuagan Dialect	lubu1243	C.R. Geiser in Reid (1971)	Lubuagan Kalinga
430	Kallahan, Kayapa Proper	kaya1320	P.O. Afable in Reid (1971)	Kayapa Kallahan
431	Kallahan, Keleyqiq	kele1259	R & L. Hohulin in Reid (1971)	Keley-i Kallahan
432	Kankanay, Northern	nort2877	D. Hettick in Reid (1971)	Northern Kankanay
671	Kalinga, Southern	sout2908	Summer Institute of Linguistics (1980)	Bangad
672	Kalinga, Limos	limo1248	Summer Institute of Linguistics (1981)	Limos Kalinga
673	Bontok, Eastern	cent2292	Summer Institute of Linguistics (1981)	Central Bontoc
678	Itawis	itaw1240	Tharp & Natividad (1976)	Itawit
679	Ibaloi	ibal1244	Anton, Sofia Olga	Ibaloi
681	Kankanaey	kank1243	Janet Allen	Kankanaey
711	Kalinga (Minangali)	lowe1412	Kenneth S. Olson, et. al.	Tanudan Kalinga
713	Yogad	yoga1237	Davis & Mesa	Yogad
730	Dupaningan Agta	dupa1235	Laura C. Robinson	Dupaninan Agta
978	Itawis	itaw1240	Norman Barrias	Itawit
1211	Arta	arta1239	Yukinori Kimoto	Arta
1278	Malaweg	itaw1240	Laurie Reid	Itawit
1463	Isinay (Dupax)	isin1239	Sarah Eve Perlawan	Isinai
1553	Inati (Hamtic)	atii1237	Hsiu, Andrew. 2018. Inati word lists. m.s.	Ati
1554	Inati (Jordan, Guimaras)	atii1237	Hsiu, Andrew. 2018. Inati word lists. m.s.	Ati
1260	Inati (Nagpana)	atii1237	Pennoyer (1987)	Ati
1328	Paiwan (Tjatjigel Egli)	paiw1248	Hans Egli, 2002, Paiwanwörterbuch. Harrassowitz	Paiwan
138	Tsou T63	tsou1248	Blust, from: Tung (1963)	Tsouic
177	Paiwan (Kulalao F82)	paiw1248	Ferrell (1982)	Paiwan
202	Bunun F69, Southern	bunu1267	Ferrell (1969)	Bunun
203	Kanakanabu F69	kana1286	Ferrell (1969)	Tsouic
241	Thao B96	thao1240	Blust	Western Plains
255	Atayal - Squliq F69	atay1247	Ferrell (1969)	Atayalic
256	Atayal - C'uli' F69 (Bandai)	atay1247	Ferrell (1969)	Atayalic
260	Kavalan F69	kava1241	Ferrell (1969)	East Formosan
266	Pazih F69	kulo1237	Ferrell (1969)	Northwest Formosan
271	Puyuma (Chihpen F69)	puyu1239	Ferrell (1969)	Puyuma
272	Rukai (Budai F69)	ruka1240	Ferrell (1969)	Rukai
273	Saaroa F69	saar1237	Ferrell (1969)	Tsouic
274	Saisiyat F69	sais1237	Ferrell (1969)	Northwest Formosan
275	Seediq F69 (Sakura)	taro1264	Ferrell (1969)	Atayalic
350	Amis (Central)	amis1246	R. Blust, Dorinda Liu	East Formosan
369	Basay TsYM91	basa1287	Laurent Sagart	East Formosan
635	Babuza Ts82	babu1240	Tsuchida (1982)	Western Plains
636	Hoanya Ts82	papo1239	Tsuchida (1982)	Western Plains
637	Papora Ts82	papo1239	Tsuchida (1982)	Western Plains
638	Taokas Ts82	babu1240	Tsuchida (1982)	Western Plains
720	Kavalan LTs	kava1241	Paul Jen-kuei Li	East Formosan
726	Bunun (Takituduh L88)	bunu1267	Paul Jen-kuei Li	Bunun
742	Atayal - C'uli' L04 (Mayrinax)	atay1247	Paul Jen-kuei Li	Atayalic
759	Puyuma (Nanwang Cq)	puyu1239	Josiane Cauquelin	Puyuma
760	Pazih LTs (Auran)	kulo1237	Paul Jen-kuei Li, Shigeru Tsuchida	Northwest Formosan
799	Amis (Fata'an)	amis1246	Li (2004)	East Formosan
800	Amis (Farang)	amis1246	Li (2004)	East Formosan
801	Sakizaya	nata1254	Li (2004)	East Formosan
802	Atayal - C'uli' L04 (Skikun)	atay1247	Li (2004)	Atayalic
803	Bunun (Takituduh L04)	bunu1267	Li (2004)	Bunun
804	Bunun (Takbanuaz)	bunu1267	Li (2004)	Bunun
805	Bunun (Iskubun)	bunu1267	Li (2004)	Bunun
806	Paiwan (Butanglu L04)	paiw1248	Li (2004)	Paiwan
807	Paiwan (Stimul L04)	paiw1248	Li (2004)	Paiwan
808	Paiwan (Tjubar L04)	paiw1248	Li (2004)	Paiwan
809	Puyuma (Pilam L04)	puyu1239	Li (2004)	Puyuma
810	Puyuma (Lower Pinlang L04)	puyu1239	Li (2004)	Puyuma
811	Puyuma (Katipul L04)	puyu1239	Li (2004)	Puyuma
812	Rukai (Tanan L04)	ruka1240	Li (2004)	Rukai
813	Rukai (Budai L04)	ruka1240	Li (2004)	Rukai
814	Rukai (Maga L04)	ruka1240	Li (2004)	Rukai
815	Rukai (Tona)	ruka1240	Li (2004)	Rukai
816	Rukai (Mantauran L04)	ruka1240	Li (2004)	Rukai
817	Saisiyat L04 (Tungho)	sais1237	Li (2004)	Northwest Formosan
818	Saisiyat L04 (Ta'ai)	sais1237	Li (2004)	Northwest Formosan
819	Atayal - Squliq L04	atay1247	Li (2004)	Atayalic
820	Seediq L04 (Paran)	taro1264	Li (2004)	Atayalic
821	Seediq L04 (Toda)	taro1264	Li (2004)	Atayalic
822	Seediq L04 (Hecuo)	taro1264	Li (2004)	Atayalic
823	Seediq L04 (Truku)	taro1264	Li (2004)	Atayalic
824	Tsou (Duhtu L04)	tsou1248	Li (2004)	Tsouic
825	Kanakanabu L04	kana1286	Li (2004)	Tsouic
826	Saaroa L04	saar1237	Li (2004)	Tsouic
832	Basay L04	basa1287	Paul Jen-kuei Li	East Formosan
137	Tontemboan	tont1239	NY. J. A. Karisoh	Minahasan
496	Tonsea	tons1240	Billy S.C Ticoalu	Minahasan
