ID	Name	Glottocode	author	Clade
5	Bantik	bant1286	L. Theddon	Bantik
183	Sangir	sang1336	Blust, from: Steller & Aebersold (1959)	Sangir
445	Sangil, Saragani Islands	sang1337	K. Maryott in Reid (1971)	Sangil
446	Sangir, Tabukang Dialect	sang1336	A. Maryott in Reid (1971)	Sangir
1269	Iraya	iray1237	Barbian (1977)	Iraya
1270	Alangan	alan1249	Barbian (1977)	Alangan
1271	Tadyawan	tady1237	Barbian (1977)	Tadyawan
451	Tagbanwa, Kalamian, Coron Island Dialect	cala1258	E. Ruch in Reid (1971)	Calamian Tagbanwa
1569	Agutyanen	agut1237	Caabay & Melvin (2018)	Agutaynen
12	Gorontalo (Hulondalo)	goro1259	Hamzah Machmoed	Gorontalo
13	Hanunóo	hanu1241	Blust, from: Conklin (1953)	Hanunoo
29	Kaidipang	kaid1239	Hunggu Tadjuddin Usup	Kaidipang
43	Aklanon - Bisayan	akla1241	Dave Zorc	Aklanon
47	Bikol (Naga City)	cent2087	Amy V. Daniega	Coastal-Naga Bikol
86	Maranao	mara1404	McKaughan & Macaraya (1967)	Maranao
144	Western Bukidnon Manobo	west2555	Lawrence A. Reid	Western Bukidnon Manobo
153	Cebuano	cebu1242	Gemma Losbaños & Hermelito Go	Cebuano
193	Hiligaynon	hili1240	Jamaica Salcedo	Hiligaynon
240	Bolaang Mongondow	mong1342	Blust, from: Dunnebier (1765)	Mongondow
265	Palawan Batak	bata1301	Lawrence A. Reid	Batak
277	Tagalog	taga1270	Ted Llamzon	Tagalog
389	Tagalog	taga1270	My knowledge in Tagalog	Tagalog
408	Tagalog (Anthony dela Paz)	taga1270	Anthony dela Paz	Tagalog
412	Batak, Palawan	bata1301	R. Rodda in Reid (1971)	Batak
415	Binukid	binu1244	U. Post in Reid (1971)	Talaandig-Binukid
428	Kalagan	kala1388	D. Murray in Reid (1971)	Kalagan
433	Mamanwa	mama1275	J. & H. Miller in Reid (1971)	Mamanwa
434	Manobo, Ata (up-river)	atam1240	V. Morey & U. Post in Reid (1971)	Ata Manobo
435	Manobo, Ata (down-river)	atam1240	V. Morey & U. Post in Reid (1971)	Ata Manobo
436	Manobo, Dibabawon	diba1242	J. Forster in Reid (1971)	Dibabawon Manobo
437	Manobo, Ilianen (Kibudtungan Dialect)	ilia1236	J. Shand & H. Wrigglesworth in Reid (1971)	Ilianen Manobo
438	Manobo, Kalamansig Cotabato (Paril Dialect)	cota1241	E. C. Johnston in Reid (1971)	Cotabato Manobo
439	Manobo, Sarangani, Kayaponga Dialect	sara1327	C. DuBois in Reid (1971)	Sarangani Manobo
440	Manobo, Tigwa, Iglogsad Dialect	mati1250	C. Strong in Reid (1971)	Matigsalug Manobo
441	Manobo, Western Bukidnon	west2555	R.E.Elkins in Reid (1971)	Western Bukidnon Manobo
442	Mansaka	mans1262	G. Svelmoe in Reid (1971)	Mansaka
447	Subanun, Sindangan	cent2089	R. Brichoux in Reid (1971)	Central Subanen
448	Subanon, Siocon	west2557	W. Hall in Reid (1971)	Western Subanon
450	Tagbanwa, Aborlan Dialect	cent2090	S. Hussey in Reid (1971)	Central Tagbanwa
452	Tausug, Jolo Dialect	taus1251	S. Ashley in Reid (1971)	Tausug
458	Iranun	iran1262	Sean Conklin and Mabulmaddin Haji Shaiddin	Iranun
466	Surigaonon	suri1273	Richard Parker	Surigaonon
467	Ilonggo	hili1240	Richard Parker	Hiligaynon
483	Butuanon	butu1244	Vicente de Jesus, Richard Parker, Fr. Joesilo C. Amalla	Butuanon
494	S.W. Palawano	sout2916	Bill Davis	Southwest Palawano
513	Waray-Waray	wara1300	Andras Rajki	Waray (Philippines)
618	Buol	buol1237	Erik Zobel	Buol
657	Kinaray-a	kina1250	Arnel Genzola	Kinaray-a
660	Capisano	capi1239	Jose Ricarte	Capiznon
685	Maguindanaon	magu1243	Robert E. Sullivan	Maguindanao
687	Romblon	romb1245	Fe Aldave Yap	Romblomanon
688	Cuyonon	cuyo1237	Fe Aldave Yap	Cuyonon
708	Bantoanon (Banton)	bant1288	Gordon & Kilgour	Bantoanon
710	Bikol (Buhinon)	buhi1243	Kenneth S. Olson, et. al.	Buhi
722	Bikol (Rinconada)	irig1242	Lobel & Bucad	Iriga Bicolano
755	Masbatenyo	masb1238	Elmer P. Wolfenden	Masbatenyo
783	Samar-Leyte	wara1300	Alfonsa E. Tizon	Waray (Philippines)
788	Marinduque Tagalog	taga1270	Rosa Soberano	Tagalog
859	Bikol (Bisakol)	cent2087	Roberto Gimoro	Coastal-Naga Bikol
860	Kagayanen	kaga1256	Multiple contributors from Cagayancillo, Palawan	Kagayanen
1208	Naga Bikol	cent2087	Geopoet	Coastal-Naga Bikol
1272	Batangan	buhi1245	Barbian (1977)	Buhid
1273	Buhid	buhi1245	Barbian (1977)	Buhid
1274	Hanunoo	hanu1241	Barbian (1977)	Hanunoo
1275	Ratagnon	rata1245	Barbian (1977)	Ratagnon
