ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
5-1_hand-1,5,5,1_hand,lima,lima,,,Theddon-5-2005,"1,64",false,,
5-1_hand-2,135232,5,1_hand,lrima,lrima,,Possible reduplication of *lima,Theddon-5-2005,"1,64",false,,
5-2_left-1,362,5,2_left,kuihi,kuihi,,,Theddon-5-2005,"1,42",false,,
5-3_right-1,719,5,3_right,kuaneŋ,kuaneŋ,,,Theddon-5-2005,"1,62",false,,
5-4_legfoot-1,1076,5,4_legfoot,tiloʔ,tiloʔ,,,Theddon-5-2005,106,false,,
5-4_legfoot-2,135230,5,4_legfoot,tilro,tilro,,,Theddon-5-2005,106,false,,
5-5_towalk-1,1433,5,5_towalk,lampáŋ,lampáŋ,,,Theddon-5-2005,43,false,,
5-5_towalk-2,135229,5,5_towalk,Lrumampang,Lrumampang,,,Theddon-5-2005,,false,,
5-6_roadpath-1,1790,5,6_roadpath,daleŋ,daleŋ,,,Theddon-5-2005,"1,59",false,,
5-6_roadpath-2,135233,5,6_roadpath,dalren,dalren,,,Theddon-5-2005,,false,,
5-6_roadpath-3,135234,5,6_roadpath,boboko,boboko,,,Theddon-5-2005,,false,,
5-7_tocome-1,2147,5,7_tocome,mahi,mahi,,,Theddon-5-2005,1,false,,
5-7_tocome-2,135688,5,7_tocome,si'nai,si'nai,,,Theddon-5-2005,,false,,
5-8_toturn-1,2504,5,8_toturn,sea,sea,,,Theddon-5-2005,,false,,
5-9_toswim-1,2861,5,9_toswim,moyou,moyou,,,Theddon-5-2005,,false,,
5-10_dirty-1,3218,5,10_dirty,suledo,suledo,,,Theddon-5-2005,,false,,
5-11_dust-1,3575,5,11_dust,síbukuʔ,síbukuʔ,,,Theddon-5-2005,1?,false,,
5-12_skin-1,3932,5,12_skin,pisi,pisi,,,Theddon-5-2005,22,false,,
5-13_back-1,4289,5,13_back,líkuduʔ,líkuduʔ,,,Theddon-5-2005,1,false,,
5-14_belly-1,4646,5,14_belly,tiaŋ,tiaŋ,,,Theddon-5-2005,1,false,,
5-15_bone-1,5003,5,15_bone,duhi,duhi,,,Theddon-5-2005,2,false,,
5-16_intestines-1,5360,5,16_intestines,tináy,tináy,,,Theddon-5-2005,1,false,,
5-17_liver-1,5717,5,17_liver,atey,atey,,,Theddon-5-2005,1,false,,
5-18_breast-1,6074,5,18_breast,susu,susu,,,Theddon-5-2005,1,false,,
5-19_shoulder-1,6431,5,19_shoulder,bambáŋ,bambáŋ,,,Theddon-5-2005,19,false,,
5-20_toknowbeknowledgeable-1,6788,5,20_toknowbeknowledgeable,tiho,tiho,,,Theddon-5-2005,,false,,
5-21_tothink-1,133497,5,21_tothink,mamikihi,mamikihi,,,Theddon-5-2005,,false,,
5-22_tofear-1,135692,5,22_tofear,[ma]takuʔ,[ma]takuʔ,,,Theddon-5-2005,1,false,,
5-22_tofear-2,135693,5,22_tofear,mataku,mataku,,,Theddon-5-2005,1,false,,
